SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value,Vendor,Part Number,Cost Source
LGTTTLGASL,through-the-looking-glass-scissor-arm-wall-light,SWITCH: Large In-Line Rocker - INSTALLED,yes - assemble the light for me,active,TRUE,Installed Switch,9999999,50.00,,,,,
LGTTTLGHWASL,through-the-looking-glass-scissor-arm-wall-light,SWITCH: Large In-Line Rocker - INSTALLED,yes - assemble the light for me,active,TRUE,Installed Switch,9999988,50.50,,,,,
LGTTTLGHWASR,through-the-looking-glass-scissor-arm-wall-light,Through the Looking Glass Scissor-Arm Wall Light,yes - assemble the light for me,active,TRUE,TTLG Light,9999976,50.50,,,,,
LGTTTLGHWNOL,through-the-looking-glass-scissor-arm-wall-light,Through the Looking Glass Scissor-Arm Wall Light,no - I will assemble the light,active,TRUE,TTLG Light,9999997,40.50,,,,,
LGTTTLGHWNOR,through-the-looking-glass-scissor-arm-wall-light,Through the Looking Glass Scissor-Arm Wall Light,no - I will assemble the light,active,TRUE,TTLG Light,9999994,40.50,,,,,
LGTTTLGNOL,through-the-looking-glass-scissor-arm-wall-light,Through the Looking Glass Scissor-Arm Wall Light,no - I will assemble the light,active,TRUE,TTLG Light,9999998,40.00,,,,,
LGTTTLGNOR,through-the-looking-glass-scissor-arm-wall-light,Through the Looking Glass Scissor-Arm Wall Light,no - I will assemble the light,active,TRUE,TTLG Light,9999998,40.00,,,,,
LKNTHX916x18,locknut-zinc-plated-9-16-hex-1-8-thick,"Locknut,  Zinc-Plated, 9/16"" Hex., 1/8"" thick",Default Title,active,TRUE,Miscellaneous,335,0.25,0.06,20.10,Satco,90-1636,Catalog 90-1636
LNKNRL18IP18,locknut-brass-1-8-ips-knurled-1-8-thick,"Locknut,  Brass, 1/8 IPS, Knurled, 1/8"" thick",Default Title,active,TRUE,Miscellaneous,0,1.50,1.20,,Satco,90-1601,Catalog 90-1601
LTBASKPAN16,bamboo-slatted-trapezoid-pendant,"Locknut,  Brass, 1/8 IPS, Knurled, 1/8"" thick",16 feet,active,TRUE,Miscellaneous,9999999,70.00,,,,,
LTBASKPAN4,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,4 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,58.00,,,,,
LTBASKPAN8,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,8 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,62.00,,,,,
LTBASKPAP16,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,16 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,72.00,,,,,
LTBASKPAP4,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,4 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,60.00,,,,,
LTBASKPAP8,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,8 feet,active,TRUE,Ceiling Lights - Trapezoid,9999998,64.00,,,,,
LTBASKPNN16,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,16 feet,active,TRUE,Ceiling Lights - Trapezoid,9999998,55.00,,,,,
LTBASKPNN4,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,4 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,43.00,,,,,
LTBASKPNN8,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,8 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,47.00,,,,,
LTBASKPNP16,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,16 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,57.00,,,,,
LTBASKPNP4,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,4 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,45.00,,,,,
LTBASKPNP8,bamboo-slatted-trapezoid-pendant,Bamboo Slatted Trapezoid Pendant Light,8 feet,active,TRUE,Ceiling Lights - Trapezoid,9999999,49.00,,,,,
LTBASKWAN,bamboo-slatted-trapezoid-light,Bamboo Slatted Trapezoid Pendant Light,yes - assemble the light for me,active,TRUE,Ceiling Lights - Trapezoid,9999999,80.00,,,,,
LTBASKWNN,bamboo-slatted-trapezoid-light,Bamboo Slatted Trapezoid Wall-Mounted Light,no - I will assemble the light,active,TRUE,Wall-Mounted Lights - Trapezoid,9999999,60.00,,,,,
