SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W182CPBWSHMNS,2-conductor-18-gauge-black-and-white-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,29,80.00,17.46,506.34
W182CPBWSHS,2-conductor-18-gauge-black-and-white-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,8,80.00,17.46,139.68
W182CPBWZZF,2-conductor-18-gauge-black-and-white-zig-zag-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,1388,0.90,0.16,222.08
W182CPBWZZS,2-conductor-18-gauge-black-and-white-zig-zag-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,14,80.00,17.46,244.44
W182CPDBXXF,2-conductor-18-gauge-dark-brown-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,0,0.90,0.16,
W182CPDBXXS,2-conductor-18-gauge-dark-brown-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,0,80.00,17.46,
W182CPDPSHF,2-conductor-18-gauge-dark-brown-and-putty-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,0,0.90,0.16,
W182CPDPSHS,2-conductor-18-gauge-dark-brown-and-putty-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,0,80.00,17.46,
W182CPDPZZF,2-conductor-18-gauge-dark-brown-putty-zig-zag-cotton-pulley-cord-ul-listed,2-CONDUCTOR 18-GAUGE DARK BROWN & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,377,0.90,0.16,60.32
W182CPDPZZS,2-conductor-18-gauge-dark-brown-putty-zig-zag-cotton-pulley-cord-ul-listed,2-CONDUCTOR 18-GAUGE DARK BROWN & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,3,80.00,17.46,52.38
