SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W222CTBKXXS,2-conductor-22-gauge-black-cotton-twisted-wire,2-CONDUCTOR 22-GAUGE BLACK COTTON TWISTED WIRE,By the 100-foot spool,active,,Wire,0,40.0,11.92,
W222CTDB250S,2-conductor-22-gauge-dark-brown-cotton-twisted-wire,2-CONDUCTOR 22-GAUGE DARK BROWN COTTON TWISTED WIRE,By the 250-foot spool,active,,Wire,3,80.0,29.4,88.2
W222CTDBXXF,2-conductor-22-gauge-dark-brown-cotton-twisted-wire,2-CONDUCTOR 22-GAUGE DARK BROWN COTTON TWISTED WIRE,By the foot,active,,Wire,-50,1.0,0.11,
W222CTDBXXS,2-conductor-22-gauge-dark-brown-cotton-twisted-wire,2-CONDUCTOR 22-GAUGE DARK BROWN COTTON TWISTED WIRE,By the 100-foot spool,active,,Wire,0,40.0,12.01,
W222RTBKXXF,2-conductor-22-gauge-black-rayon-twisted-wire,2-CONDUCTOR 22-GAUGE BLACK RAYON TWISTED WIRE,By the foot,active,,Wire,0,1.0,0.14,
W222RTBKXXS,2-conductor-22-gauge-black-rayon-twisted-wire,2-CONDUCTOR 22-GAUGE BLACK RAYON TWISTED WIRE,By the 100-foot spool,active,,Wire,0,40.0,15.56,
W222RTGDXXF,2-conductor-22-gauge-gold-rayon-twisted-wire,2-CONDUCTOR 22-GAUGE GOLD RAYON TWISTED WIRE,By the foot,active,,Wire,0,1.0,0.14,
W222RTGDXXS,2-conductor-22-gauge-gold-rayon-twisted-wire,2-CONDUCTOR 22-GAUGE GOLD RAYON TWISTED WIRE,By the 100-foot spool,active,,Wire,0,40.0,15.56,
W222RTWHXXF,2-conductor-22-gauge-white-rayon-twisted-wire,2-CONDUCTOR 22-GAUGE WHITE RAYON TWISTED WIRE,By the foot,active,,Wire,285,1.0,0.14,39.9
W222RTWHXXS,2-conductor-22-gauge-white-rayon-twisted-wire,2-CONDUCTOR 22-GAUGE WHITE RAYON TWISTED WIRE,By the 100-foot spool,active,,Wire,3,40.0,15.56,46.68
WCUTMX18MX10,wire-cutting,Wire Cutting,Default Title,active,,Wire Cutting,150,0.3,,
WIRECHNG,wire-change,Wire Change,Default Title,active,,,-1,10.0,,
